Code Insee;Code Postal;Ville;Nom Ville long;;;;;Cedex
78003;78660;ABLIS;ABLIS;78;E;01.01.0001;25.10.199325.10.1993;
14001;14600;ABLON;ABLON;14;E;01.01.0001;25.10.199325.10.1993;
94001;94480;ABLON SUR SEINE;ABLON SUR SEINE;94;E;01.01.0001;25.10.199325.10.1993;
42001;42380;ABOEN;ABOEN;42;E;01.01.0001;25.10.199325.10.1993;
54003;54115;ABONCOURT;ABONCOURT;54;E;01.01.0001;25.10.199325.10.1993;
57001;57920;ABONCOURT;ABONCOURT;57;E;01.01.0001;25.10.199325.10.1993;
70002;70500;ABONCOURT GESINCOURT;ABONCOURT GESINCOURT;70;E;01.01.0001;25.10.199325.10.1993;
57002;57590;ABONCOURT SUR SEILLE;ABONCOURT SUR SEILLE;57;E;01.01.0001;25.10.199325.10.1993;
74001;74360;ABONDANCE;ABONDANCE;74;E;01.01.0001;25.10.199325.10.1993;
28001;28410;ABONDANT;ABONDANT;28;E;01.01.0001;25.10.199310.01.1994;
64005;64360;ABOS;ABOS;64;E;01.01.0001;25.10.199325.10.1993;
57003;57560;ABRESCHVILLER;ABRESCHVILLER;57;E;01.01.0001;25.10.199325.10.1993;
03001;03200;ABREST;ABREST;03;E;01.01.0001;25.10.199325.10.1993;
05001;05460;ABRIES;ABRIES;05;E;01.01.0001;25.10.199325.10.1993;
59002;59215;ABSCON;ABSCON;59;E;01.01.0001;25.10.199325.10.1993;
16001;16500;ABZAC;ABZAC;16;E;01.01.0001;25.10.199325.10.1993;
33001;33230;ABZAC;ABZAC;33;E;01.01.0001;25.10.199325.10.1993;
25005;25250;ACCOLANS;ACCOLANS;25;E;01.01.0001;25.10.199325.10.1993;
89001;89460;ACCOLAY;ACCOLAY;89;E;01.01.0001;25.10.199325.10.1993;
07001;07160;ACCONS;ACCONS;07;E;01.01.0001;25.10.199325.10.1993;
64006;64490;ACCOUS;ACCOUS;64;E;01.01.0001;25.10.199325.10.1993;
57004;57340;ACHAIN;ACHAIN;57;E;01.01.0001;25.10.199325.10.1993;
57006;57412;ACHEN;ACHEN;57;E;01.01.0001;25.10.199310.01.1994;
67001;67204;ACHENHEIM;ACHENHEIM;67;E;01.01.0001;25.10.199310.01.1994;
18001;18250;ACHERES;ACHERES;18;E;01.01.0001;25.10.199325.10.1993;
78005;78260;ACHERES;ACHERES;78;E;01.01.0001;25.10.199325.10.1993;
77001;77760;ACHERES LA FORET;ACHERES LA FORET;77;E;01.01.0001;25.10.199325.10.1993;
02002;02800;ACHERY;ACHERY;02;E;01.01.0001;25.10.199325.10.1993;
80003;80560;ACHEUX EN AMIENOIS;ACHEUX EN AMIENOIS;80;E;01.01.0001;25.10.199325.10.1993;
80004;80210;ACHEUX EN VIMEU;ACHEUX EN VIMEU;80;E;01.01.0001;25.10.199325.10.1993;
62003;62320;ACHEVILLE;ACHEVILLE;62;E;01.01.0001;25.10.199325.10.1993;
70003;70180;ACHEY;ACHEY;70;E;01.01.0001;25.10.199325.10.1993;
62004;62217;ACHICOURT;ACHICOURT;62;E;01.01.0001;25.10.199325.10.1993;
62005;62121;ACHIET LE GRAND;ACHIET LE GRAND;62;E;01.01.0001;25.10.199325.10.1993;
62006;62121;ACHIET LE PETIT;ACHIET LE PETIT;62;E;01.01.0001;25.10.199325.10.1993;
58001;58110;ACHUN;ACHUN;58;E;01.01.0001;25.10.199325.10.1993;
60004;60690;ACHY;ACHY;60;E;01.01.0001;25.10.199325.10.1993;
35001;35690;ACIGNE;ACIGNE;35;E;01.01.0001;25.10.199325.10.1993;
27001;27800;ACLOU;ACLOU;27;E;01.01.0001;25.10.199325.10.1993;
27002;27570;ACON;ACON;27;E;01.01.0001;25.10.199325.10.1993;
97601;97630;ACOUA;ACOUA;97;E;01.01.0001;12.10.200912.10.2009;
98501;97630;ACOUA;ACOUA;98;S;12.10.2009;25.10.199312.10.2009;
62007;62144;ACQ;ACQ;62;E;01.01.0001;25.10.199325.10.1993;
14002;14220;ACQUEVILLE;ACQUEVILLE;14;E;01.01.0001;25.10.199325.10.1993;
50001;50440;ACQUEVILLE;ACQUEVILLE;50;E;01.01.0001;25.10.199325.10.1993;
27003;27400;ACQUIGNY;ACQUIGNY;27;E;01.01.0001;25.10.199325.10.1993;
62008;62380;ACQUIN WESTBECOURT;ACQUIN WESTBECOURT;62;E;01.01.0001;25.10.199325.10.1993;
02003;02200;ACY;ACY;02;E;01.01.0001;25.10.199325.10.1993;
