NAF rév. 2, 2008 - Niveau 4 - Liste des classes;;Statut des activités par classe NAF;REMARQUES;Potentiel marché;NOMBRE ;;;;REPARTITION ;;;
Code;Libellé;;;;0 salarié;< à 6 salariés;< à 10 salariés;< 20 salariés;0 salarié;< à 6 salariés;< à 10 salariés;< 20 salariés
47.64;Commerce de détail d'articles de sport en magasin spécialisé;M;1 activité refusée : vente de bateaux;9795;4708;8432;9098;9595;0,480653395;0,860847371;0,928841246;0,979581419
47.65;Commerce de détail de jeux et jouets en magasin spécialisé;A;;1761;949;1565;1687;1736;0,538898353;0,888699602;0,957978421;0,985803521
47.71;Commerce de détail d'habillement en magasin spécialisé;A;;39953;21329;36606;38544;39421;0,533852276;0,916226566;0,964733562;0,986684354
47.72;Commerce de détail de chaussures et d'articles en cuir en magasin spécialisé;A;;7575;3442;6809;7208;7417;0,454;0,899;0,9515;0,979
47.73;Commerce de détail de produits pharmaceutiques en magasin spécialisé;A;;23760;1288;15354;21754;23574;0,054208754;0,646212121;0,915572391;0,992171717
47.74;Commerce de détail d'articles médicaux et orthopédiques en magasin spécialisé;A;;2406;858;2006;2209;2344;0,356608479;0,833748961;0,918121363;0,974231089
47.75;Commerce de détail de parfumerie et de produits de beauté en magasin spécialisé;A;;4490;2278;3846;4201;4409;0,507349666;0,856570156;0,935634744;0,981959911
47.76;Commerce de détail de fleurs, plantes, graines, engrais, animaux de compagnie et aliments pour ces animaux en magasin spécialisé;M;Car commerce de détail à destination des particuliers;15633;7804;14208;14907;15300;0,499200409;0,908846671;0,953559777;0,978698906
47.77;Commerce de détail d'articles d'horlogerie et de bijouterie en magasin spécialisé;R;;5418;2363;4812;5148;5338;0,436138797;0,888150609;0,950166113;0,985234404
47.78;Autre commerce de détail de biens neufs en magasin spécialisé;M;;37910;21461;35092;36790;37590;0,566;0,926;0,9705;0,9915
47.79;Commerce de détail de biens d'occasion en magasin;M;;14531;11959;14256;14424;14505;0,822999105;0,981074943;0,992636432;0,998210722
47.81;Commerce de détail alimentaire sur éventaires et marchés;A;;24780;20099;24481;24693;24764;0,811097659;0,987933818;0,996489104;0,999354318
47.82;Commerce de détail de textiles, d'habillement et de chaussures sur éventaires et marchés;A;;7295;7040;7281;7288;7292;0,965044551;0,998080877;0,999040439;0,999588759
47.89;Autres commerces de détail sur éventaires et marchés;A;;54136;52397;54068;54118;54132;0,967877198;0,998743904;0,999667504;0,999926112
47.91;Vente à distance;M;même système que pour la vente sur internet;9517;8129;9164;9295;9383;0,8538;0,963;0,977;0,986
47.99;Autres commerces de détail hors magasin, éventaires ou marchés;M;automates = exclus;5783;4277;5244;5406;5568;0,7395;0,906;0,9348;0,963
49.10;Transport ferroviaire interurbain de voyageurs;R;;7;1;1;1;3;0,142857143;0,142857143;0,142857143;0,428571429
49.20;Transports ferroviaires de fret;R;;24;16;19;19;20;0,666666667;0,791666667;0,791666667;0,833333333
49.31;Transports urbains et suburbains de voyageurs;R;;592;221;365;396;426;0,373310811;0,616554054;0,668918919;0,719594595
49.32;Transports de voyageurs par taxis;M;"refus de l'activité ""navette régulière aéroport/gare"" (UGP en UEA : cette activité est refusée dès lors qu'il s'agit de l'activité principale)";30892;26445;30133;30555;30791;0,856046873;0,975430532;0,989091027;0,996730545
49.39;Autres transports terrestres de voyageurs n.c.a.;R;;5362;2256;3495;3921;4438;0,4207;0,6518;0,7312;0,828
49.41;Transports routiers de fret;R;;38388;16935;28345;31722;34798;0,441;0,738;0,826;0,906
49.42;Services de déménagement;R;;1655;463;970;1206;1482;0,279758308;0,586102719;0,728700906;0,895468278
49.50;Transports par conduites;R;;29;21;24;26;26;0,724137931;0,827586207;0,896551724;0,896551724
50.10;Transports maritimes et côtiers de passagers;R;;634;485;581;595;610;0,764984227;0,916403785;0,938485804;0,96214511
50.20;Transports maritimes et côtiers de fret;R;;110;47;66;71;81;0,427272727;0,6;0,645454545;0,736363636
50.30;Transports fluviaux de passagers;R;;161;64;125;139;144;0,397515528;0,776397516;0,863354037;0,894409938
50.40;Transports fluviaux de fret;R;;976;734;941;950;968;0,75204918;0,964139344;0,973360656;0,991803279
51.10;Transports aériens de passagers;R;;539;275;382;423;457;0,510204082;0,708719852;0,784786642;0,847866419
51.21;Transports aériens de fret;R;;29;13;20;22;25;0,448275862;0,689655172;0,75862069;0,862068966
51.22;Transports spatiaux;R;;3;1;2;2;2;0,333333333;0,666666667;0,666666667;0,666666667
52.10;Entreposage et stockage;R;;1947;815;1289;1447;1611;0,419;0,662;0,743;0,827
52.21;Services auxiliaires des transports terrestres;R;;883;522;721;778;814;0,591166478;0,816534541;0,881087203;0,921857305
52.22;Services auxiliaires des transports par eau;R;;359;158;244;279;310;0,440111421;0,679665738;0,777158774;0,863509749
52.23;Services auxiliaires des transports aériens;R;;256;77;122;141;169;0,30078125;0,4765625;0,55078125;0,66015625
52.24;Manutention;R;;564;166;270;331;403;0,294;0,479;0,587;0,715
52.29;Autres services auxiliaires des transports;R;;3634;1200;2163;2521;2895;0,3302;0,595;0,694;0,797
53.10;Activités de poste dans le cadre d'une obligation de service universel;R;;29;1;1;1;3;0,034482759;0,034482759;0,034482759;0,103448276
53.20;Autres activités de poste et de courrier;R;;1501;940;1291;1363;1433;0,626249167;0,860093271;0,908061292;0,954696869
55.10;Hôtels et hébergement similaire;M;Village vacances = refus ;28641;10574;21049;24429;27304;0,36919102;0,734925457;0,852938096;0,953318669
55.20;Hébergement touristique et autre hébergement de courte durée;M;A voir dans le détail ;10977;8786;10485;10672;10826;0,800400838;0,955179011;0,972214631;0,986243965
55.30;Terrains de camping et parcs pour caravanes ou véhicules de loisirs;R;;4948;2727;4590;4815;4916;0,55113177;0,927647534;0,973120453;0,993532741
55.90;Autres hébergements;R;;562;81;246;334;460;0,144128114;0,43772242;0,59430605;0,818505338
56.10;Restaurants et services de restauration mobile;M;refus de la restauration mobile (càd restauration ds les TGV, bateaux…) :;143984;61762;124696;135045;140660;0,429;0,866;0,938;0,977
56.21;Services des traiteurs;A;;5279;3083;4573;4873;5120;0,584012124;0,86626255;0,923091495;0,969880659
56.29;Autres services de restauration;R;Restauration collective sous contrat : UGP en UEA = Refus;1720;169;1190;1358;1497;0,0098;0,692;0,789;0,8703
56.30;Débits de boissons;M;refus des discothèques et des vendeurs de boissons itinérants;36298;21049;34809;35814;36214;0,579894209;0,958978456;0,986665932;0,997685823
58.11;Édition de livres;M;Activité acceptée et ASS COM 90 (UGP en UEA) si il s'agit de la mise en page et de la conception sans l'impression (donc cette restriction a été mise en commentaires). Ici l'édition de livres sur d'autres supports que le papier est refusée (à vérifier);3554;2407;3167;3313;3422;0,677265053;0,89110861;0,932189083;0,962858751
58.12;Édition de répertoires et de fichiers d'adresses;R;;39;28;30;36;37;0,717948718;0,769230769;0,923076923;0,948717949
58.13;Édition de journaux;R;;1568;931;1283;1365;1441;0,59375;0,818239796;0,870535714;0,919005102
58.14;Édition de revues et périodiques;R;;4373;2493;3571;3865;4102;0,570089184;0,816601875;0,883832609;0,938028813
58.19;Autres activités d'édition;M;A VERIFIER CAR SOUS-CLASSES TRES DIVERSES (et pouvant être assimilées à SER 11 Services informatiques);1448;1016;1347;1384;1417;0,701657459;0,930248619;0,955801105;0,97859116
58.21;Édition de jeux électroniques;M;;91;45;65;68;77;0,494505495;0,714285714;0,747252747;0,846153846
58.29;Édition d'autres logiciels;M;;4312;2094;3175;3515;3855;0,486;0,736;0,8151;0,894
59.11;Production de films cinématographiques, de vidéo et de programmes de télévision;M;;10553;7205;9764;10101;10374;0,683;0,925;0,957;0,983
59.12;Post-production de films cinématographiques, de vidéo et de programmes de télévision;R;;1321;742;1087;1156;1229;0,561695685;0,822861469;0,875094625;0,930355791
59.13;Distribution de films cinématographiques, de vidéo et de programmes de télévision;R;;924;638;830;862;892;0,6904;0,8982;0,933;0,9653
59.14;Projection de films cinématographiques;R;;985;221;586;732;878;0,224365482;0,594923858;0,743147208;0,891370558
59.20;Enregistrement sonore et édition musicale;R;;3942;3171;3836;3899;3925;0,804414003;0,973110096;0,989091832;0,995687468
60.10;Édition et diffusion de programmes radio;R;;947;211;769;860;903;0,22280887;0,812038015;0,90813094;0,953537487
60.20;Programmation de télévision et télédiffusion;R;;215;71;100;115;143;0,3302;0,465;0,5348;0,665
61.10;Télécommunications filaires;R;;861;472;724;768;807;0,548199768;0,840882695;0,891986063;0,93728223
61.20;Télécommunications sans fil;R;;237;84;155;177;198;0,35443038;0,654008439;0,746835443;0,835443038
61.30;Télécommunications par satellite;R;;87;41;71;73;79;0,471264368;0,816091954;0,83908046;0,908045977
61.90;Autres activités de télécommunication;R;;2984;2136;2799;2865;2912;0,715817694;0,938002681;0,960120643;0,975871314
62.01;Programmation informatique;M;Refus de ce que l'INSEE nomme les originaux de logiciels et de jeux vidéos (les droits de propriété intellectuelle) : à vérifier;13978;10136;12691;13210;13606;0,725139505;0,907926742;0,945056517;0,973386751
62.02;Conseil informatique;A;;29147;20656;26049;27050;27659;0,7086;0,8937;0,928;0,9489
62.03;Gestion d'installations informatiques;R;;482;259;363;385;410;0,537344398;0,753112033;0,798755187;0,850622407
62.09;Autres activités informatiques;R;;2114;1614;1982;2039;2088;0,763481552;0,93755913;0,964522233;0,987701041
63.11;Traitement de données, hébergement et activités connexes;R;;4686;2798;3916;4142;4364;0,597097738;0,835680751;0,883909518;0,931284678
63.12;Portails Internet;R;;607;446;553;571;582;0,73476112;0,911037891;0,940691928;0,958813839
63.91;Activités des agences de presse;R;;2511;2114;2374;2434;2464;0,841895659;0,945440064;0,969334926;0,981282358
63.99;Autres services d'information n.c.a.;R;;1340;1092;1293;1318;1331;0,814925373;0,964925373;0,98358209;0,993283582
64.11;Activités de banque centrale;R;;9;5;6;6;6;0,555555556;0,666666667;0,666666667;0,666666667
64.19;Autres intermédiations monétaires;R;;5467;4446;4728;4845;5077;0,813243095;0,864825316;0,88622645;0,928662886
64.20;Activités des sociétés holding;R;;58819;41246;54753;56887;58140;0,701235995;0,930872677;0,967153471;0,988456111
64.30;Fonds de placement et entités financières similaires;R;;2263;307;1834;2050;2176;0,135660627;0,810428635;0,905877154;0,961555457
64.91;Crédit-bail;R;;303;246;263;267;272;0,811881188;0,867986799;0,881188119;0,897689769
64.92;Autre distribution de crédit;R;;537;347;431;444;456;0,646182495;0,802607076;0,826815642;0,849162011
64.99;Autres activités des services financiers, hors assurance et caisses de retraite, n.c.a.;R;;776;528;681;704;732;0,680412371;0,87757732;0,907216495;0,943298969
65.11;Assurance vie;R;;271;166;214;218;223;0,612546125;0,789667897;0,804428044;0,822878229
65.12;Autres assurances;R;;2544;1354;1800;1916;2063;0,532232704;0,70754717;0,753144654;0,810927673
65.20;Réassurance;R;;76;44;52;57;60;0,578947368;0,684210526;0,75;0,789473684
65.30;Caisses de retraite;R;;35;18;24;24;27;0,514285714;0,685714286;0,685714286;0,771428571
66.11;Administration de marchés financiers;R;;109;86;96;100;103;0,788990826;0,880733945;0,917431193;0,944954128
66.12;Courtage de valeurs mobilières et de marchandises;R;;605;460;567;578;585;0,760330579;0,937190083;0,955371901;0,966942149
66.19;Autres activités auxiliaires de services financiers, hors assurance et caisses de retraite;R;;12789;7350;12171;12486;12643;0,5747;0,9516;0,976;0,9885
66.21;Évaluation des risques et dommages;R;;704;285;491;599;663;0,404829545;0,697443182;0,850852273;0,941761364
66.22;Activités des agents et courtiers d'assurances;R;;28130;15673;26310;27363;27854;0,557163171;0,935300391;0,972733736;0,990188411
66.29;Autres activités auxiliaires d'assurance et de caisses de retraite;R;;767;499;715;743;759;0,650586701;0,93220339;0,968709257;0,989569752
66.30;Gestion de fonds;R;;5708;4179;5226;5408;5563;0,732130343;0,915557113;0,947442186;0,974597057
68.10;Activités des marchands de biens immobiliers;R;;26065;22797;25795;25967;26046;0,874621139;0,989641281;0,996240169;0,999271053
68.20;Location et exploitation de biens immobiliers propres ou loués;M;;87260;76788;85917;86340;86593;0,88;0,9846;0,9895;0,9924
68.31;Agences immobilières;A;;48634;30092;45434;47432;48256;0,618744088;0,93420241;0,97528478;0,99222766
68.32;Administration de biens immobiliers;R;;9090;5396;7614;8184;8690;0,5936;0,8376;0,9;0,956
69.10;Activités juridiques;A;;56294;37593;50680;53520;55523;0,667797634;0,900273564;0,95072299;0,986304047
69.20;Activités comptables;A;;22268;9582;16383;18956;21092;0,430303575;0,735719418;0,851266391;0,947188791
70.10;Activités des sièges sociaux;R;;4039;2594;3282;3452;3602;0,642238178;0,812577371;0,854666997;0,891804902
70.21;Conseil en relations publiques et communication;R;;5083;4221;4891;4964;5031;0,830415109;0,962227031;0,976588629;0,989769821
70.22;Conseil pour les affaires et autres conseils de gestion;M;"refus de 2 activités : ""agencement de bureaux"" et ""marque déposée""";91056;71407;86960;88776;90000;0,784209717;0,955016693;0,974960464;0,988402741
71.11;Activités d'architecture;A;;31271;21229;29383;30506;31073;0,678871798;0,939624572;0,97553644;0,993668255
71.12;Activités d'ingénierie;M;SER 07;39745;22933;33605;36090;38038;0,577;0,8455;0,908;0,957
71.20;Activités de contrôle et analyses techniques;R;;9812;4398;8800;9271;9520;0,448;0,8968;0,9449;0,9702
72.11;Recherche-développement en biotechnologie;R;;722;346;532;580;646;0,479224377;0,736842105;0,8033241;0,894736842
72.19;Recherche-développement en autres sciences physiques et naturelles;R;;2485;1298;1947;2083;2231;0,522334004;0,783501006;0,838229376;0,89778672
72.20;Recherche-développement en sciences humaines et sociales;R;;661;372;582;616;639;0,562783661;0,880484115;0,931921331;0,966717095
73.11;Activités des agences de publicité;A;;18802;11444;16513;17493;18217;0,608658653;0,878257632;0,930379747;0,968886289
73.12;Régie publicitaire de médias;A;;4445;3052;4024;4193;4316;0,686614173;0,905286839;0,943307087;0,970978628
73.20;Études de marché et sondages;A;;2791;1757;2385;2504;2629;0,629523468;0,854532426;0,897169473;0,941956288
74.10;Activités spécialisées de design;M;2 activités acceptées : architecte d'intérieur et créateur de meubles;4364;3682;4244;4302;4335;0,843721357;0,972502291;0,985792851;0,99335472
74.20;Activités photographiques;M;"A voir pr certaines activités comme photographie sous-marine…Classe très fournie et ne se limitant au ""simple"" photographe";8267;6288;8040;8173;8232;0,760614491;0,97254143;0,988629491;0,9957663
74.30;Traduction et interprétation;A;;10009;9247;9845;9928;9982;0,923868518;0,983614747;0,991907283;0,997302428
74.90;Autres activités spécialisées, scientifiques et techniques n.c.a.;M;A voir : très détaillé (ex : service de gestion des droits d'auteur…);8079;5889;7537;7795;7948;0,729;0,9329;0,9648;0,9837
75.00;Activités vétérinaires;M;refus des services vétérinaires hospitaliers;8555;4195;7814;8403;8544;0,490356517;0,913383986;0,982232613;0,998714202
77.11;Location et location-bail de voitures et de véhicules automobiles légers;R;;2988;1971;2678;2796;2886;0,659;0,896;0,9357;0,9659
77.12;Location et location-bail de camions;R;;798;560;704;745;773;0,701754386;0,882205514;0,93358396;0,968671679
77.21;Location et location-bail d'articles de loisirs et de sport;M;1 Activité refusée : location de bateaux de plaisance;1450;1000;1369;1410;1435;0,689655172;0,944137931;0,972413793;0,989655172
77.22;Location de vidéocassettes et disques vidéo;A;;990;688;970;988;989;0,694949495;0,97979798;0,997979798;0,998989899
77.29;Location et location-bail d'autres biens personnels et domestiques;M;Ass à vérifier;3544;2548;3253;3361;3445;0,718961625;0,917889391;0,948363431;0,972065463
77.31;Location et location-bail de machines et équipements agricoles;R;;6875;6351;6843;6861;6873;0,923781818;0,995345455;0,997963636;0,999709091
77.32;Location et location-bail de machines et équipements pour la construction;A;Avec des limitations (cf doc);1930;884;1468;1650;1787;0,458031088;0,760621762;0,85492228;0,925906736
77.33;Location et location-bail de machines de bureau et de matériel informatique;R;;279;173;237;253;263;0,620071685;0,849462366;0,906810036;0,94265233
77.34;Location et location-bail de matériels de transport par eau;R;;339;307;337;337;338;0,90560472;0,994100295;0,994100295;0,997050147
77.35;Location et location-bail de matériels de transport aérien;R;;433;408;429;432;433;0,942263279;0,990762125;0,997690531;1
77.39;Location et location-bail d'autres machines, équipements et biens matériels n.c.a.;R;;2898;2015;2578;2706;2802;0,695307108;0,88957902;0,933747412;0,966873706
77.40;Location-bail de propriété intellectuelle et de produits similaires, à l'exception des œuvres soumises à copyright;R;;504;385;457;472;483;0,763888889;0,906746032;0,936507937;0,958333333
78.10;Activités des agences de placement de main-d'œuvre;A;;814;290;539;614;699;0,356265356;0,662162162;0,754299754;0,858722359
78.20;Activités des agences de travail temporaire;A;;2336;284;1578;2052;2240;0,121575342;0,675513699;0,878424658;0,95890411
78.30;Autre mise à disposition de ressources humaines;M;A vérifier car Ass;6590;2841;5193;5573;5951;0,431107739;0,78801214;0,845675266;0,903034901
79.11;Activités des agences de voyage;A;;4510;1285;3472;3952;4275;0,284922395;0,769844789;0,876274945;0,94789357
79.12;Activités des voyagistes;M;Ass de certaines activités à Agence de voyage : à vérifier;498;160;341;397;444;0,321285141;0,684738956;0,797188755;0,891566265
79.90;Autres services de réservation et activités connexes;M;1 activité acceptée : la fourniture d'informations sur les destinations aux voyageurs par l'intermédiaire notamment de brochures (ASS à Agence de voyage);2349;558;1911;2108;2240;0,237547893;0,813537676;0,89740315;0,953597275
80.10;Activités de sécurité privée;M;;9392;5462;7046;7606;8322;0,581558773;0,750212947;0,80983816;0,886073254
80.20;Activités liées aux systèmes de sécurité;M;On accepte uniquement la vente d'alarmes;1037;513;799;869;945;0,494696239;0,770491803;0,837994214;0,911282546
80.30;Activités d'enquête;A;;338;280;327;331;333;0,828402367;0,967455621;0,979289941;0,985207101
81.10;Activités combinées de soutien lié aux bâtiments;R;;251;140;221;225;234;0,557768924;0,880478088;0,896414343;0,932270916
81.21;Nettoyage courant des bâtiments;A;;14885;7630;11217;12248;13292;0,512596574;0,753577427;0,822841787;0,89297951
81.22;Autres activités de nettoyage des bâtiments et nettoyage industriel;M;A vérifier car classe avec énormément de détails sur les activités la composant, services de nettoyage spécialisés dans tout type de bâtiment;4320;2190;3271;3612;3922;0,506944444;0,757175926;0,836111111;0,90787037
81.29;Autres activités de nettoyage;M;A vérifier : nettoyage de toutes sortes d'objets (la plupart sont refusées);2077;1223;1786;1897;1985;0,5888;0,8598;0,9133;0,9557
81.30;Services d'aménagement paysager;A;;28319;19378;26319;27257;27941;0,684275575;0,929376037;0,962498676;0,986652071
82.11;Services administratifs combinés de bureau;A;;2586;1824;2435;2513;2555;0,705336427;0,941608662;0,971771075;0,988012374
82.19;Photocopie, préparation de documents et autres activités spécialisées de soutien de bureau;M;A voir;18970;5467;17538;18272;18666;0,288191882;0,924512388;0,963205061;0,983974697
82.20;Activités de centres d'appels;M;A voir car assimilations;793;321;472;534;608;0,404791929;0,595208071;0,673392182;0,766708701
82.30;Organisation de salons professionnels et congrès;R;;4848;3356;4467;4617;4737;0,692244224;0,921410891;0,952351485;0,97710396
82.91;Activités des agences de recouvrement de factures et des sociétés d'information financière sur la clientèle;R;;352;188;279;294;313;0,534090909;0,792613636;0,835227273;0,889204545
82.92;Activités de conditionnement;R;;1259;427;745;869;988;0,339158062;0,591739476;0,690230342;0,784749801
82.99;Autres activités de soutien aux entreprises n.c.a.;M;;25370;18791;23260;24027;24654;0,740677966;0,916830903;0,947063461;0,97177769
84.11;Administration publique générale;R;;44182;3513;19514;26249;33435;0,079512018;0,44167308;0,594110724;0,756756145
84.12;Administration publique (tutelle) de la santé, de la formation, de la culture et des services sociaux, autre que sécurité sociale;R;;5464;1503;3870;4496;4913;0,275073206;0,708272328;0,82284041;0,899158126
84.13;Administration publique (tutelle) des activités économiques;R;;3706;1248;2348;2593;2879;0,336751214;0,633567188;0,699676201;0,776848354
84.21;Affaires étrangères;R;;29;14;16;16;20;0,482758621;0,551724138;0,551724138;0,689655172
84.22;Défense;R;;2;1;2;2;2;0,5;1;1;1
84.23;Justice;R;;306;56;100;107;125;0,183006536;0,326797386;0,349673203;0,408496732
84.24;Activités d'ordre public et de sécurité;R;;210;31;34;34;38;0,147619048;0,161904762;0,161904762;0,180952381
84.25;Services du feu et de secours;R;;247;106;146;148;149;0,429149798;0,591093117;0,599190283;0,603238866
84.30;Sécurité sociale obligatoire;R;;1040;327;398;422;471;0,3144;0,3827;0,1058;0,4528
85.10;Enseignement pré-primaire;R;;71;1;26;34;57;0,014084507;0,366197183;0,478873239;0,802816901
85.20;Enseignement primaire;R;;3856;55;881;1846;3160;0,014263485;0,228475104;0,47873444;0,819502075
85.31;Enseignement secondaire général;R;;8628;134;204;259;585;0,01553083;0,02364395;0,030018544;0,067802503
85.32;Enseignement secondaire technique ou professionnel;R;;2817;195;311;406;670;0,069222577;0,110401136;0,144124956;0,237841676
85.41;Enseignement post-secondaire non supérieur;R;;44;19;24;29;37;0,431818182;0,545454545;0,659090909;0,840909091
85.42;Enseignement supérieur;R;;1149;218;355;429;566;0,1897302;0,308964317;0,373368146;0,492602263
85.51;Enseignement de disciplines sportives et d'activités de loisirs;R;;26976;24476;26573;26758;26881;0,90732503;0,985060795;0,991918743;0,996478351
85.52;Enseignement culturel;R;;5361;4053;4906;5082;5274;0,756015669;0,915127775;0,947957471;0,983771684
85.53;Enseignement de la conduite;M;refus des bateaux-écoles;9384;3896;8280;9006;9303;0,415174766;0,882352941;0,95971867;0,991368286
85.59;Enseignements divers;M;1 activité acceptée : soutien scolaire à domicile (cf UGP en UEA);32069;21928;28242;29543;30802;0,6838;0,8806;0,9212;0,9605
85.60;Activités de soutien à l'enseignement;R;;240;206;229;231;236;0,858333333;0,954166667;0,9625;0,983333333
86.10;Activités hospitalières;R;;2847;311;402;452;540;0,109237794;0,141201264;0,158763611;0,18967334
86.21;Activité des médecins généralistes;A;;75930;62104;74836;75275;75597;0,817911234;0,985591993;0,991373634;0,995614382
86.22;Activité des médecins spécialistes;M;;41688;31892;41232;41464;41601;0,765;0,989;0,9946;0,998
86.23;Pratique dentaire;M;;37597;19869;37311;37551;37586;0,528473016;0,99239301;0,998776498;0,999707423
86.90;Autres activités pour la santé humaine;M;;169466;158050;163710;165819;168071;0,9326;0,966;0,978;0,9917
87.10;Hébergement médicalisé;R;;3478;107;188;264;441;0,0307;0,054;0,076;0,127
87.20;Hébergement social pour personnes handicapées mentales, malades mentales et toxicomanes;R;;506;28;67;94;155;0,055;0,1324;0,1857;0,3063
87.30;Hébergement social pour personnes âgées ou handicapées physiques;R;;1509;430;554;661;798;0,285;0,367;0,438;0,5288
87.90;Autres activités d'hébergement social;R;;1473;73;467;582;778;0,0495;0,317;0,3951;0,5282
88.10;Action sociale sans hébergement pour personnes âgées et pour personnes handicapées;M;;6786;1033;2365;2873;4100;0,1522;0,3485;0,4233;0,6041
88.91;Action sociale sans hébergement pour jeunes enfants;M;;2948;119;960;1742;2493;0,0403;0,3256;0,5909;0,8456
88.99;Autre action sociale sans hébergement n.c.a.;R;;11602;766;5104;6338;7983;0,066;0,44;0,5462;0,688
90.01;Arts du spectacle vivant;R;;12880;4573;11565;12202;12616;0,355046584;0,897903727;0,947360248;0,979503106
90.02;Activités de soutien au spectacle vivant;M;1 activité acceptée : entreprise de location  de sono, éclairage, montage de structure pour spectacles ASS SER 10 (cf Manuel Produits);5100;3108;4601;4834;5003;0,609411765;0,902156863;0,947843137;0,980980392
90.03;Création artistique;R;;16803;15979;16742;16771;16793;0,9509;0,996;0,998;0,999
90.04;Gestion de salles de spectacles;R;;1311;261;787;949;1168;0,199084668;0,600305111;0,723874905;0,89092296
91.01;Gestion des bibliothèques et des archives;R;;211;44;180;191;201;0,208530806;0,853080569;0,90521327;0,952606635
91.02;Gestion des musées;R;;364;106;293;327;344;0,291208791;0,804945055;0,898351648;0,945054945
91.03;Gestion des sites et monuments historiques et des attractions touristiques similaires;R;;783;258;585;638;698;0,329501916;0,747126437;0,814814815;0,891443167
91.04;Gestion des jardins botaniques et zoologiques et des réserves naturelles;R;;435;121;295;336;369;0,27816092;0,67816092;0,772413793;0,848275862
92.00;Organisation de jeux de hasard et d'argent;R;;808;358;508;580;609;0,443069307;0,628712871;0,717821782;0,753712871
93.11;Gestion d'installations sportives;R;;3179;1074;2444;2726;2988;0,337842089;0,768795219;0,857502359;0,939918213
93.12;Activités de clubs de sports;R;;19062;448;16828;17904;18612;0,023502256;0,882803483;0,939250866;0,976392823
93.13;Activités des centres de culture physique;R;;785;351;719;769;780;0,447133758;0,915923567;0,979617834;0,993630573
93.19;Autres activités liées au sport;R;;3173;2514;3050;3103;3131;0,792310117;0,961235424;0,977938859;0,986763315
93.21;Activités des parcs d'attractions et parcs à thèmes;R;;2999;2624;2918;2957;2968;0,874958319;0,972990997;0,985995332;0,989663221
93.29;Autres activités récréatives et de loisirs;R;;13448;9436;12726;13101;13346;0,701665675;0,946311719;0,974196907;0,992415229
94.11;Activités des organisations patronales et consulaires;R;;3483;585;2435;2730;2963;0,167958656;0,699109963;0,783807063;0,850703417
94.12;Activités des organisations professionnelles;R;;2276;494;1897;2077;2194;0,217047452;0,833479789;0,912565905;0,96397188
94.20;Activités des syndicats de salariés;R;;3659;1156;3339;3497;3564;0,315933315;0,912544411;0,955725608;0,974036622
94.91;Activités des organisations religieuses;R;;6473;2302;5875;6135;6310;0,355631083;0,907616252;0,947783099;0,974818477
94.92;Activités des organisations politiques;R;;204;50;187;195;199;0,245098039;0,916666667;0,955882353;0,975490196
94.99;Activités des organisations associatives n.c.a.;R;;31496;292;23329;26596;29367;0,009271019;0,740697231;0,844424689;0,932404115
95.11;Réparation d'ordinateurs et d'équipements périphériques;A;;5914;4717;5662;5775;5843;0,797598918;0,957389246;0,976496449;0,987994589
95.12;Réparation d'équipements de communication;A;;75;34;46;57;62;0,453333333;0,613333333;0,76;0,826666667
95.21;Réparation de produits électroniques grand public;A;;2504;1702;2371;2432;2467;0,67971246;0,946884984;0,971246006;0,985223642
95.22;Réparation d'appareils électroménagers et d'équipements pour la maison et le jardin;A;;2274;1449;2118;2195;2249;0,637203166;0,931398417;0,965259455;0,989006157
95.23;Réparation de chaussures et d'articles en cuir;A;;3316;2604;3289;3307;3314;0,785283474;0,99185766;0,997285887;0,999396864
95.24;Réparation de meubles et d'équipements du foyer;A;;2214;1757;2157;2203;2211;0,793586269;0,974254743;0,995031617;0,998644986
95.25;Réparation d'articles d'horlogerie et de bijouterie;M;;810;637;780;793;803;0,786419753;0,962962963;0,979012346;0,991358025
95.29;Réparation d'autres biens personnels et domestiques;M;;7130;5594;6999;7084;7117;0,78457223;0,981626928;0,993548387;0,998176718
96.01;Blanchisserie-teinturerie;M;Refus des services de teinture des vêtements;9436;5540;8831;9107;9279;0,587;0,936;0,9651;0,983
96.02;Coiffure et soins de beauté;M;Quelques exceptions comme l'épilation définitive ou le maquillage permanent;86143;45008;81716;84830;85935;0,522;0,9486;0,9848;0,9976
96.03;Services funéraires;M;;2865;826;2012;2473;2781;0,288307155;0,702268761;0,863176265;0,970680628
96.04;Entretien corporel;R;;6691;5009;6435;6549;6619;0,748617546;0,96173965;0,978777462;0,989239277
96.09;Autres services personnels n.c.a.;M;;19720;16941;19035;19300;19533;0,859077079;0,965263692;0,978701826;0,990517241
97.00;Activités des ménages en tant qu'employeurs de personnel domestique;M;;;;;;;;;;
98.10;Activités indifférenciées des ménages en tant que producteurs de biens pour usage propre;R;;;;;;;;;;
98.20;Activités indifférenciées des ménages en tant que producteurs de services pour usage propre;R;;;;;;;;;;
99.00;Activités des organisations et organismes extraterritoriaux;R;;;;;;;;;;
