NAF rév. 2, 2008 - Niveau 4 - Liste des classes;;Statut des activités par classe NAF;REMARQUES;Potentiel marché;NOMBRE ;;;;REPARTITION ;;;
Code;Libellé;;;;0 salarié;< à 6 salariés;< à 10 salariés;< 20 salariés;0 salarié;< à 6 salariés;< à 10 salariés;< 20 salariés
33.15;Réparation et maintenance navale;M;1 Activité acceptée : réparation de voiles de bateaux (cf Manuel Produits ASS COM 91);2000;1215;1809;1911;1968;0,6075;0,9045;0,9555;0,984
33.16;Réparation et maintenance d'aéronefs et d'engins spatiaux;R;;279;135;206;221;238;0,483870968;0,738351254;0,792114695;0,853046595
33.17;Réparation et maintenance d'autres équipements de transport;R;;39;11;15;18;21;0,282051282;0,384615385;0,461538462;0,538461538
33.19;Réparation d'autres équipements;M;1 Activité acceptée : 33.19.10 Réparation ou reconditionnement de palettes en bois;189;91;141;152;166;0,481481481;0,746031746;0,804232804;0,878306878
33.20;Installation de machines et d'équipements industriels;R;;8847;2784;5447;6636;7853;0,315;0,616;0,75;0,8876
35.11;Production d'électricité;R;;3645;3196;3598;3619;3629;0,876817558;0,987105624;0,992866941;0,995610425
35.12;Transport d'électricité;R;;36;8;33;33;33;0,222222222;0,916666667;0,916666667;0,916666667
35.13;Distribution d'électricité;R;;191;87;130;145;171;0,455497382;0,680628272;0,759162304;0,895287958
35.14;Commerce d'électricité;R;;121;85;99;105;108;0,702479339;0,818181818;0,867768595;0,892561983
35.21;Production de combustibles gazeux;R;;30;26;27;29;30;0,866666667;0,9;0,966666667;1
35.22;Distribution de combustibles gazeux par conduites;R;;31;13;19;20;24;0,419354839;0,612903226;0,64516129;0,774193548
35.23;Commerce de combustibles gazeux par conduites;R;;22;9;10;10;13;0,409090909;0,454545455;0,454545455;0,590909091
35.30;Production et distribution de vapeur et d'air conditionné;R;;317;208;250;262;282;0,65615142;0,788643533;0,826498423;0,889589905
36.00;Captage, traitement et distribution d'eau;R;;2043;148;1671;1843;1928;0,072442487;0,817914831;0,902104748;0,94371023
37.00;Collecte et traitement des eaux usées;R;;1269;308;947;1071;1162;0,242710796;0,746256895;0,843971631;0,915681639
38.11;Collecte des déchets non dangereux;R;;980;235;500;612;741;0,239795918;0,510204082;0,624489796;0,756122449
38.12;Collecte des déchets dangereux;R;;221;101;154;173;191;0,457013575;0,696832579;0,78280543;0,864253394
38.21;Traitement et élimination des déchets non dangereux;R;;478;154;248;280;328;0,322175732;0,518828452;0,585774059;0,686192469
38.22;Traitement et élimination des déchets dangereux;R;;168;58;93;110;125;0,345238095;0,553571429;0,654761905;0,744047619
